series,timestamp,value,label
Q_heat [kW],2020-01-01T09:30:00.000Z,40.476483687691825,
t_oa_avg [°C],2020-01-01T09:30:00.000Z,11.513888888888886,
t_ra_avg [°C],2020-01-01T09:30:00.000Z,21.403703703703705,
Q_cool [kW],2020-01-01T10:00:00.000Z,-19.049669958598273,
Q_heat [kW],2020-01-01T10:00:00.000Z,35.971908182064844,
t_oa_avg [°C],2020-01-01T10:00:00.000Z,12.763888888888893,
t_ra_avg [°C],2020-01-01T10:00:00.000Z,21.37546296296296,
Q_cool [kW],2020-01-01T10:30:00.000Z,-13.606793394516457,
Q_heat [kW],2020-01-01T10:30:00.000Z,35.55720350509183,
t_oa_avg [°C],2020-01-01T10:30:00.000Z,14.152777777777775,
t_ra_avg [°C],2020-01-01T10:30:00.000Z,21.465277777777775,
Q_cool [kW],2020-01-01T11:00:00.000Z,13.12286394239871,
Q_heat [kW],2020-01-01T11:00:00.000Z,40.89269234904,
t_oa_avg [°C],2020-01-01T11:00:00.000Z,13.194444444444445,
t_ra_avg [°C],2020-01-01T11:00:00.000Z,21.462037037037035,
Q_cool [kW],2020-01-01T11:30:00.000Z,-9.11963167573035,
Q_heat [kW],2020-01-01T11:30:00.000Z,41.92075276808481,
t_oa_avg [°C],2020-01-01T11:30:00.000Z,12.63888888888889,
t_ra_avg [°C],2020-01-01T11:30:00.000Z,21.456481481481482,
Q_cool [kW],2020-01-01T12:00:00.000Z,-2.1430143753670188,
Q_heat [kW],2020-01-01T12:00:00.000Z,40.82546203933551,
t_oa_avg [°C],2020-01-01T12:00:00.000Z,16.15277777777778,
t_ra_avg [°C],2020-01-01T12:00:00.000Z,21.506018518518523,
Q_cool [kW],2020-01-01T12:30:00.000Z,13.517155367134935,
Q_heat [kW],2020-01-01T12:30:00.000Z,33.074196452634816,
t_oa_avg [°C],2020-01-01T12:30:00.000Z,16.680555555555557,
t_ra_avg [°C],2020-01-01T12:30:00.000Z,21.535185185185185,
Q_cool [kW],2020-01-01T13:00:00.000Z,15.142550288289193,
Q_heat [kW],2020-01-01T13:00:00.000Z,33.45156894975002,
t_oa_avg [°C],2020-01-01T13:00:00.000Z,17.013888888888893,
t_ra_avg [°C],2020-01-01T13:00:00.000Z,21.554629629629634,
